Date,Close
08-07-20,91.059
09-07-20,92.952
10-07-20,102.977
13-07-20,99.804
14-07-20,101.120
15-07-20,103.067
16-07-20,100.043
17-07-20,100.056
20-07-20,109.533
21-07-20,104.557
22-07-20,106.155
23-07-20,100.871
24-07-20,94.467
27-07-20,102.640
28-07-20,98.433
29-07-20,99.941
30-07-20,99.166
31-07-20,95.384
03-08-20,99.000
04-08-20,99.133
05-08-20,99.001
06-08-20,99.305
07-08-20,96.847
10-08-20,94.571
11-08-20,91.626
12-08-20,103.651
13-08-20,108.067
14-08-20,110.047
17-08-20,122.376
18-08-20,125.806
19-08-20,125.235
20-08-20,133.455
21-08-20,136.665
24-08-20,134.280
25-08-20,134.889
26-08-20,143.545
27-08-20,149.250
28-08-20,147.560
31-08-20,166.107
01-09-20,158.350
02-09-20,149.123
03-09-20,135.667
04-09-20,139.440
08-09-20,110.070
09-09-20,122.093
10-09-20,123.780
11-09-20,124.240
14-09-20,139.873
15-09-20,149.920
16-09-20,147.253
17-09-20,141.143
18-09-20,147.383
21-09-20,149.797
22-09-20,141.410
23-09-20,126.787
24-09-20,129.263
25-09-20,135.780
28-09-20,140.400
29-09-20,139.690
30-09-20,143.003
01-10-20,149.387
02-10-20,138.363
05-10-20,141.893
06-10-20,137.993
07-10-20,141.767
08-10-20,141.973
09-10-20,144.667
12-10-20,147.433
13-10-20,148.883
14-10-20,153.767
15-10-20,149.627
16-10-20,146.557
19-10-20,143.610
20-10-20,140.647
21-10-20,140.880
22-10-20,141.930
23-10-20,140.210
26-10-20,140.093
27-10-20,141.560
28-10-20,135.340
29-10-20,136.943
30-10-20,129.347
02-11-20,133.503
03-11-20,141.300
04-11-20,140.327
05-11-20,146.030
06-11-20,143.317
09-11-20,140.420
10-11-20,136.787
11-11-20,139.043
12-11-20,137.253
13-11-20,136.167
16-11-20,136.030
17-11-20,147.203
18-11-20,162.213
19-11-20,166.423
20-11-20,163.203
23-11-20,173.950
24-11-20,185.127
25-11-20,191.333
27-11-20,195.253
30-11-20,189.200
01-12-20,194.920
02-12-20,189.607
03-12-20,197.793
04-12-20,199.680
07-12-20,213.920
08-12-20,216.627
09-12-20,201.493
10-12-20,209.023
11-12-20,203.330
14-12-20,213.277
15-12-20,211.083
16-12-20,207.590
17-12-20,218.633
18-12-20,231.667
21-12-20,216.620
22-12-20,213.447
23-12-20,215.327
24-12-20,220.590
28-12-20,221.230
29-12-20,221.997
30-12-20,231.593
31-12-20,235.223
04-01-21,243.257
05-01-21,245.037
06-01-21,251.993
07-01-21,272.013
08-01-21,293.340
11-01-21,270.397
12-01-21,283.147
13-01-21,284.803
14-01-21,281.667
15-01-21,275.387
19-01-21,281.517
20-01-21,283.483
21-01-21,281.663
22-01-21,282.213
25-01-21,293.600
26-01-21,294.363
27-01-21,288.053
28-01-21,278.477
29-01-21,264.510
01-02-21,279.937
02-02-21,290.930
03-02-21,284.897
04-02-21,283.330
05-02-21,284.077
08-02-21,287.807
09-02-21,283.153
10-02-21,268.273
11-02-21,270.553
12-02-21,272.040
16-02-21,265.407
17-02-21,266.050
18-02-21,262.460
19-02-21,260.433
22-02-21,238.167
23-02-21,232.947
24-02-21,247.340
25-02-21,227.407
26-02-21,225.167
01-03-21,239.477
02-03-21,228.813
03-03-21,217.733
04-03-21,207.147
05-03-21,199.317
08-03-21,187.667
09-03-21,224.527
10-03-21,222.687
11-03-21,233.200
12-03-21,231.243
15-03-21,235.980
16-03-21,225.627
17-03-21,233.937
18-03-21,217.720
19-03-21,218.290
22-03-21,223.333
23-03-21,220.720
24-03-21,210.090
25-03-21,213.463
26-03-21,206.237
29-03-21,203.763
30-03-21,211.873
31-03-21,222.643
01-04-21,220.583
05-04-21,230.350
06-04-21,230.540
07-04-21,223.657
08-04-21,227.933
09-04-21,225.673
12-04-21,233.993
13-04-21,254.107
14-04-21,244.077
15-04-21,246.283
16-04-21,246.593
19-04-21,238.210
20-04-21,239.663
21-04-21,248.040
22-04-21,239.897
23-04-21,243.133
26-04-21,246.067
27-04-21,234.913
28-04-21,231.467
29-04-21,225.667
30-04-21,236.480
03-05-21,228.300
04-05-21,224.533
05-05-21,223.647
06-05-21,221.180
07-05-21,224.123
10-05-21,209.680
11-05-21,205.733
12-05-21,196.630
13-05-21,190.563
14-05-21,196.580
17-05-21,192.277
18-05-21,192.623
19-05-21,187.820
20-05-21,195.593
21-05-21,193.627
24-05-21,202.147
25-05-21,201.563
26-05-21,206.377
27-05-21,210.283
28-05-21,208.407
01-06-21,207.967
02-06-21,201.707
03-06-21,190.947
04-06-21,199.683
07-06-21,201.710
08-06-21,201.197
09-06-21,199.593
10-06-21,203.373
11-06-21,203.297
14-06-21,205.897
15-06-21,199.787
16-06-21,201.623
17-06-21,205.533
18-06-21,207.770
21-06-21,206.943
22-06-21,207.903
23-06-21,218.857
24-06-21,226.607
25-06-21,223.957
28-06-21,229.573
29-06-21,226.920
30-06-21,226.567
01-07-21,225.973
02-07-21,226.300
06-07-21,219.860
07-07-21,214.883
